x,y,z
-5.000000000000000000e+00,-5.000000000000000000e+00,-2.500000000000000000e+00
-4.949748743718592969e+00,-5.000000000000000000e+00,-2.475000631297189280e+00
-4.899497487437185939e+00,-5.000000000000000000e+00,-2.450253781470164594e+00
-4.849246231155778908e+00,-5.000000000000000000e+00,-2.425759450518925942e+00
-4.798994974874371877e+00,-5.000000000000000000e+00,-2.401517638443473768e+00
-4.748743718592964846e+00,-5.000000000000000000e+00,-2.377528345243806740e+00
-4.698492462311557816e+00,-5.000000000000000000e+00,-2.353791570919926190e+00
-4.648241206030150785e+00,-5.000000000000000000e+00,-2.330307315471831675e+00
-4.597989949748743754e+00,-5.000000000000000000e+00,-2.307075578899522750e+00
-4.547738693467336724e+00,-5.000000000000000000e+00,-2.284096361202999859e+00
-4.497487437185929693e+00,-5.000000000000000000e+00,-2.261369662382263446e+00
-4.447236180904522662e+00,-5.000000000000000000e+00,-2.238895482437312179e+00
-4.396984924623115631e+00,-5.000000000000000000e+00,-2.216673821368147390e+00
-4.346733668341708601e+00,-5.000000000000000000e+00,-2.194704679174768192e+00
-4.296482412060301570e+00,-5.000000000000000000e+00,-2.172988055857175471e+00
-4.246231155778894539e+00,-5.000000000000000000e+00,-2.151523951415368341e+00
-4.195979899497487509e+00,-5.000000000000000000e+00,-2.130312365849347245e+00
-4.145728643216080478e+00,-5.000000000000000000e+00,-2.109353299159112183e+00
-4.095477386934673447e+00,-5.000000000000000000e+00,-2.088646751344663155e+00
-4.045226130653266416e+00,-5.000000000000000000e+00,-2.068192722405999717e+00
-3.994974874371859386e+00,-5.000000000000000000e+00,-2.047991212343122758e+00
-3.944723618090452355e+00,-5.000000000000000000e+00,-2.028042221156031388e+00
-3.894472361809045324e+00,-5.000000000000000000e+00,-2.008345748844726053e+00
-3.844221105527638294e+00,-5.000000000000000000e+00,-1.988901795409206752e+00
-3.793969849246231263e+00,-5.000000000000000000e+00,-1.969710360849473485e+00
-3.743718592964824232e+00,-5.000000000000000000e+00,-1.950771445165526030e+00
-3.693467336683417201e+00,-5.000000000000000000e+00,-1.932085048357364609e+00
-3.643216080402010171e+00,-5.000000000000000000e+00,-1.913651170424989445e+00
-3.592964824120603140e+00,-5.000000000000000000e+00,-1.895469811368399871e+00
-3.542713567839196109e+00,-5.000000000000000000e+00,-1.877540971187596330e+00
-3.492462311557789079e+00,-5.000000000000000000e+00,-1.859864649882578602e+00
-3.442211055276382048e+00,-5.000000000000000000e+00,-1.842440847453347130e+00
-3.391959798994975017e+00,-5.000000000000000000e+00,-1.825269563899901470e+00
-3.341708542713567986e+00,-5.000000000000000000e+00,-1.808350799222241845e+00
-3.291457286432160956e+00,-5.000000000000000000e+00,-1.791684553420368031e+00
-3.241206030150753925e+00,-5.000000000000000000e+00,-1.775270826494280474e+00
-3.190954773869346894e+00,-5.000000000000000000e+00,-1.759109618443978729e+00
-3.140703517587939864e+00,-5.000000000000000000e+00,-1.743200929269463018e+00
-3.090452261306532833e+00,-5.000000000000000000e+00,-1.727544758970732897e+00
-3.040201005025125802e+00,-5.000000000000000000e+00,-1.712141107547789476e+00
-2.989949748743718327e+00,-5.000000000000000000e+00,-1.696989975000631201e+00
-2.939698492462311297e+00,-5.000000000000000000e+00,-1.682091361329259183e+00
-2.889447236180904266e+00,-5.000000000000000000e+00,-1.667445266533673420e+00
-2.839195979899497235e+00,-5.000000000000000000e+00,-1.653051690613873248e+00
-2.788944723618090205e+00,-5.000000000000000000e+00,-1.638910633569859332e+00
-2.738693467336683174e+00,-5.000000000000000000e+00,-1.625022095401631450e+00
-2.688442211055276143e+00,-5.000000000000000000e+00,-1.611386076109189158e+00
-2.638190954773869112e+00,-5.000000000000000000e+00,-1.598002575692532901e+00
-2.587939698492462082e+00,-5.000000000000000000e+00,-1.584871594151662677e+00
-2.537688442211055051e+00,-5.000000000000000000e+00,-1.571993131486578488e+00
-2.487437185929648020e+00,-5.000000000000000000e+00,-1.559367187697280333e+00
-2.437185929648240990e+00,-5.000000000000000000e+00,-1.546993762783767989e+00
-2.386934673366833959e+00,-5.000000000000000000e+00,-1.534872856746041681e+00
-2.336683417085426928e+00,-5.000000000000000000e+00,-1.523004469584101184e+00
-2.286432160804019897e+00,-5.000000000000000000e+00,-1.511388601297947165e+00
-2.236180904522612867e+00,-5.000000000000000000e+00,-1.500025251887578737e+00
-2.185929648241205836e+00,-5.000000000000000000e+00,-1.488914421352995898e+00
-2.135678391959798805e+00,-5.000000000000000000e+00,-1.478056109694199538e+00
-2.085427135678391775e+00,-5.000000000000000000e+00,-1.467450316911188990e+00
-2.035175879396984744e+00,-5.000000000000000000e+00,-1.457097043003964476e+00
-1.984924623115577713e+00,-5.000000000000000000e+00,-1.446996287972525774e+00
-1.934673366834170682e+00,-5.000000000000000000e+00,-1.437148051816873329e+00
-1.884422110552763652e+00,-5.000000000000000000e+00,-1.427552334537006695e+00
-1.834170854271356621e+00,-5.000000000000000000e+00,-1.418209136132925874e+00
-1.783919597989949590e+00,-5.000000000000000000e+00,-1.409118456604631309e+00
-1.733668341708542560e+00,-5.000000000000000000e+00,-1.400280295952122334e+00
-1.683417085427135529e+00,-5.000000000000000000e+00,-1.391694654175399615e+00
-1.633165829145728498e+00,-5.000000000000000000e+00,-1.383361531274462708e+00
-1.582914572864321467e+00,-5.000000000000000000e+00,-1.375280927249311835e+00
-1.532663316582914437e+00,-5.000000000000000000e+00,-1.367452842099946775e+00
-1.482412060301507406e+00,-5.000000000000000000e+00,-1.359877275826367971e+00
-1.432160804020100375e+00,-5.000000000000000000e+00,-1.352554228428574978e+00
-1.381909547738693345e+00,-5.000000000000000000e+00,-1.345483699906568020e+00
-1.331658291457286314e+00,-5.000000000000000000e+00,-1.338665690260346874e+00
-1.281407035175879283e+00,-5.000000000000000000e+00,-1.332100199489911763e+00
-1.231155778894472252e+00,-5.000000000000000000e+00,-1.325787227595262685e+00
-1.180904522613065222e+00,-5.000000000000000000e+00,-1.319726774576399642e+00
-1.130653266331658191e+00,-5.000000000000000000e+00,-1.313918840433322410e+00
-1.080402010050251160e+00,-5.000000000000000000e+00,-1.308363425166031213e+00
-1.030150753768844130e+00,-5.000000000000000000e+00,-1.303060528774525828e+00
-9.798994974874366548e-01,-5.000000000000000000e+00,-1.298010151258806477e+00
-9.296482412060296241e-01,-5.000000000000000000e+00,-1.293212292618873160e+00
-8.793969849246225934e-01,-5.000000000000000000e+00,-1.288666952854725878e+00
-8.291457286432155627e-01,-5.000000000000000000e+00,-1.284374131966364407e+00
-7.788944723618085320e-01,-5.000000000000000000e+00,-1.280333829953788971e+00
-7.286432160804015012e-01,-5.000000000000000000e+00,-1.276546046816999569e+00
-6.783919597989944705e-01,-5.000000000000000000e+00,-1.273010782555995979e+00
-6.281407035175874398e-01,-5.000000000000000000e+00,-1.269728037170778645e+00
-5.778894472361804091e-01,-5.000000000000000000e+00,-1.266697810661346901e+00
-5.276381909547733784e-01,-5.000000000000000000e+00,-1.263920103027701192e+00
-4.773869346733663477e-01,-5.000000000000000000e+00,-1.261394914269841738e+00
-4.271356783919593170e-01,-5.000000000000000000e+00,-1.259122244387767875e+00
-3.768844221105522863e-01,-5.000000000000000000e+00,-1.257102093381480268e+00
-3.266331658291452555e-01,-5.000000000000000000e+00,-1.255334461250978473e+00
-2.763819095477382248e-01,-5.000000000000000000e+00,-1.253819347996262712e+00
-2.261306532663311941e-01,-5.000000000000000000e+00,-1.252556753617332763e+00
-1.758793969849241634e-01,-5.000000000000000000e+00,-1.251546678114189071e+00
-1.256281407035171327e-01,-5.000000000000000000e+00,-1.250789121486830968e+00
-7.537688442211010198e-02,-5.000000000000000000e+00,-1.250284083735259122e+00
-2.512562814070307127e-02,-5.000000000000000000e+00,-1.250031564859473310e+00
2.512562814070395945e-02,-5.000000000000000000e+00,-1.250031564859473310e+00
